fileName,modId
,
bv_tritachyon_regular.json,variants_lib
bv_tritachyon_wolfpack1.json,variants_lib
bv_tritachyon_ranged.json,variants_lib
bv_tritachyon_so.json,variants_lib
bv_tritachyon_elite_wolfpack.json,variants_lib
bv_tritachyon_phase.json,variants_lib
,
bv_hegemony_lowtech.json,variants_lib
bv_hegemony_xiv.json,variants_lib
bv_hegemony_so.json,variants_lib
bv_hegemony_eliteso.json,variants_lib
,
bv_pirates_salvage.json,variants_lib
bv_pirates_elite.json,variants_lib
bv_pirates_elitecarrier.json,variants_lib
,
bv_persian_ranged.json,variants_lib
bv_persian_so.json,variants_lib
,
bv_sindrian_diktat_ranged.json,variants_lib
bv_sindrian_diktat_so.json,variants_lib
bv_sindrian_diktat_rangedSmall.json,variants_lib
,
bv_luddic_church_carrier.json,variants_lib
bv_luddic_church_elite.json,variants_lib
,
bv_independent_explore.json,variants_lib
bv_independent_so1.json,variants_lib
bv_independent_ranged.json,variants_lib
